fecha,municipio,promedio_pm25,promedio_pm10,promedio_o3,promedio_no2,ica_promedio_pm25,casos_sari_inusitada,casos_misc_pediatrico,casos_totales_respiratorios,pm25_media_movil_7d,pm25_media_movil_30d,categoria_ica_pm25,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_4,pm25_lag_5,pm25_lag_6,pm25_lag_7,poblacion_estimada,tasa_sari_por_100k,tasa_total_por_100k
2023-09-04,BARBOSA,16.47,33.21,21.83,15.48,58.9,0,0,0,15.53,15.79,Regular / Aceptable,11.95,12.79,16.83,14.69,19.38,16.6,20.2,55000,0.0,0.0
2023-09-05,BARBOSA,15.63,29.48,18.08,12.14,57.3,0,0,0,15.39,15.84,Regular / Aceptable,16.47,11.95,12.79,16.83,14.69,19.38,16.6,55000,0.0,0.0
2023-09-06,BARBOSA,16.39,36.58,15.76,12.69,58.8,0,0,0,14.96,15.77,Regular / Aceptable,15.63,16.47,11.95,12.79,16.83,14.69,19.38,55000,0.0,0.0
2023-09-07,BARBOSA,16.7,35.37,7.56,11.38,59.4,0,0,0,15.25,15.86,Regular / Aceptable,16.39,15.63,16.47,11.95,12.79,16.83,14.69,55000,0.0,0.0
2023-09-08,BARBOSA,16.6,25.4,19.59,15.74,59.2,0,0,0,15.22,15.76,Regular / Aceptable,16.7,16.39,15.63,16.47,11.95,12.79,16.83,55000,0.0,0.0
2023-09-09,BARBOSA,9.15,19.3,27.68,9.34,38.1,0,0,0,14.7,15.54,Buena,16.6,16.7,16.39,15.63,16.47,11.95,12.79,55000,0.0,0.0
2023-09-10,BARBOSA,12.35,23.26,21.7,9.16,50.7,0,0,0,14.76,15.38,Regular / Aceptable,9.15,16.6,16.7,16.39,15.63,16.47,11.95,55000,0.0,0.0
2023-09-11,BARBOSA,14.72,31.28,17.08,11.76,55.4,0,0,0,14.51,15.4,Regular / Aceptable,12.35,9.15,16.6,16.7,16.39,15.63,16.47,55000,0.0,0.0
2023-09-12,BARBOSA,15.32,26.99,13.44,15.69,56.6,0,0,0,14.46,15.43,Regular / Aceptable,14.72,12.35,9.15,16.6,16.7,16.39,15.63,55000,0.0,0.0
2023-09-13,BARBOSA,18.38,40.18,17.67,7.96,62.8,0,0,0,14.75,15.49,Regular / Aceptable,15.32,14.72,12.35,9.15,16.6,16.7,16.39,55000,0.0,0.0
2023-09-14,BARBOSA,15.4,22.54,14.69,11.86,56.8,0,0,0,14.56,15.45,Regular / Aceptable,18.38,15.32,14.72,12.35,9.15,16.6,16.7,55000,0.0,0.0
2023-09-15,BARBOSA,15.94,25.32,14.2,11.69,57.9,0,0,0,14.47,15.43,Regular / Aceptable,15.4,18.38,15.32,14.72,12.35,9.15,16.6,55000,0.0,0.0
2023-09-16,BARBOSA,13.66,32.32,23.16,13.7,53.3,0,0,0,15.11,15.37,Regular / Aceptable,15.94,15.4,18.38,15.32,14.72,12.35,9.15,55000,0.0,0.0
2023-09-17,BARBOSA,10.14,20.73,16.59,10.63,42.3,0,0,0,14.79,15.19,Buena,13.66,15.94,15.4,18.38,15.32,14.72,12.35,55000,0.0,0.0
2023-09-18,BARBOSA,14.66,23.29,14.53,12.09,55.3,0,0,0,14.79,15.36,Regular / Aceptable,10.14,13.66,15.94,15.4,18.38,15.32,14.72,55000,0.0,0.0
2023-09-19,BARBOSA,18.12,36.99,17.07,14.21,62.2,0,0,0,15.19,15.53,Regular / Aceptable,14.66,10.14,13.66,15.94,15.4,18.38,15.32,55000,0.0,0.0
2023-09-20,BARBOSA,12.67,26.91,14.5,12.17,51.3,0,0,0,14.37,15.32,Regular / Aceptable,18.12,14.66,10.14,13.66,15.94,15.4,18.38,55000,0.0,0.0
2023-09-21,BARBOSA,15.42,25.71,21.97,11.77,56.8,0,0,0,14.37,15.31,Regular / Aceptable,12.67,18.12,14.66,10.14,13.66,15.94,15.4,55000,0.0,0.0
2023-09-22,BARBOSA,16.55,36.72,14.06,12.6,59.1,0,0,0,14.46,15.27,Regular / Aceptable,15.42,12.67,18.12,14.66,10.14,13.66,15.94,55000,0.0,0.0
2023-09-23,BARBOSA,10.54,20.84,15.89,9.44,43.9,0,0,0,14.01,15.09,Buena,16.55,15.42,12.67,18.12,14.66,10.14,13.66,55000,0.0,0.0
2023-09-24,BARBOSA,16.91,34.72,18.07,7.36,59.8,0,0,0,14.98,15.05,Regular / Aceptable,10.54,16.55,15.42,12.67,18.12,14.66,10.14,55000,0.0,0.0
2023-09-25,BARBOSA,17.59,30.94,17.58,13.2,61.2,0,0,0,15.4,15.16,Regular / Aceptable,16.91,10.54,16.55,15.42,12.67,18.12,14.66,55000,0.0,0.0
2023-09-26,BARBOSA,16.76,30.63,12.83,12.62,59.5,0,0,0,15.21,15.28,Regular / Aceptable,17.59,16.91,10.54,16.55,15.42,12.67,18.12,55000,0.0,0.0
2023-09-27,BARBOSA,16.49,28.19,22.56,12.95,59.0,0,0,0,15.75,15.16,Regular / Aceptable,16.76,17.59,16.91,10.54,16.55,15.42,12.67,55000,0.0,0.0
2023-09-28,BARBOSA,14.59,28.41,12.5,13.79,55.2,0,0,0,15.63,15.09,Regular / Aceptable,16.49,16.76,17.59,16.91,10.54,16.55,15.42,55000,0.0,0.0
2023-09-29,BARBOSA,17.08,35.89,15.89,11.05,60.2,0,0,0,15.71,15.02,Regular / Aceptable,14.59,16.49,16.76,17.59,16.91,10.54,16.55,55000,0.0,0.0
2023-09-30,BARBOSA,14.69,25.88,15.72,7.8,55.4,0,0,0,16.3,15.02,Regular / Aceptable,17.08,14.59,16.49,16.76,17.59,16.91,10.54,55000,0.0,0.0
2023-10-01,BARBOSA,14.85,26.34,21.44,8.99,55.7,0,0,0,16.01,14.95,Regular / Aceptable,14.69,17.08,14.59,16.49,16.76,17.59,16.91,55000,0.0,0.0
2023-10-02,BARBOSA,19.87,42.67,23.39,10.78,65.7,0,0,0,16.33,15.19,Regular / Aceptable,14.85,14.69,17.08,14.59,16.49,16.76,17.59,55000,0.0,0.0
2023-10-03,BARBOSA,19.9,32.83,23.62,11.83,65.8,0,0,0,16.78,15.45,Regular / Aceptable,19.87,14.85,14.69,17.08,14.59,16.49,16.76,55000,0.0,0.0
2023-10-04,BARBOSA,21.92,41.72,18.73,13.13,69.8,0,0,0,17.56,15.63,Regular / Aceptable,19.9,19.87,14.85,14.69,17.08,14.59,16.49,55000,0.0,0.0
2023-10-05,BARBOSA,22.04,39.67,9.87,13.25,70.1,0,0,0,18.62,15.85,Regular / Aceptable,21.92,19.9,19.87,14.85,14.69,17.08,14.59,55000,0.0,0.0
2023-10-06,BARBOSA,17.44,36.09,15.89,11.45,60.9,0,0,0,18.67,15.88,Regular / Aceptable,22.04,21.92,19.9,19.87,14.85,14.69,17.08,55000,0.0,0.0
2023-10-07,BARBOSA,11.38,25.06,10.38,6.87,47.4,0,0,0,18.2,15.7,Buena,17.44,22.04,21.92,19.9,19.87,14.85,14.69,55000,0.0,0.0
